[7, 10, 9, 8, 6, 4, 1, 5, 2, 3]
[7, 8, 10, 9, 6, 4, 1, 5, 2, 3]
[7, 6, 8, 10, 9, 4, 1, 5, 2, 3]
[7, 4, 6, 8, 10, 9, 1, 5, 2, 3]
[7, 1, 4, 6, 8, 10, 9, 5, 2, 3]
[7, 5, 1, 4, 6, 8, 10, 9, 2, 3]
[7, 2, 5, 1, 4, 6, 8, 10, 9, 3]
[7, 9, 8, 10, 6, 4, 1, 5, 2, 3]
[7, 9, 6, 8, 10, 4, 1, 5, 2, 3]
[7, 9, 4, 6, 8, 10, 1, 5, 2, 3]
[7, 9, 1, 4, 6, 8, 10, 5, 2, 3]
[7, 9, 5, 1, 4, 6, 8, 10, 2, 3]
[7, 9, 2, 5, 1, 4, 6, 8, 10, 3]
[7, 9, 3, 2, 5, 1, 4, 6, 8, 10]
[7, 9, 10, 6, 8, 4, 1, 5, 2, 3]
[7, 9, 10, 4, 6, 8, 1, 5, 2, 3]
[7, 9, 10, 1, 4, 6, 8, 5, 2, 3]
[7, 9, 10, 5, 1, 4, 6, 8, 2, 3]
[7, 9, 10, 2, 5, 1, 4, 6, 8, 3]
[7, 9, 10, 3, 2, 5, 1, 4, 6, 8]
[7, 9, 10, 8, 4, 6, 1, 5, 2, 3]
[7, 9, 10, 8, 1, 4, 6, 5, 2, 3]
[7, 9, 10, 8, 5, 1, 4, 6, 2, 3]
[7, 9, 10, 8, 2, 5, 1, 4, 6, 3]
[7, 9, 10, 8, 3, 2, 5, 1, 4, 6]
[7, 9, 10, 8, 6, 1, 4, 5, 2, 3]
[7, 9, 10, 8, 6, 5, 1, 4, 2, 3]
[7, 9, 10, 8, 6, 2, 5, 1, 4, 3]
[7, 9, 10, 8, 6, 3, 2, 5, 1, 4]
[7, 9, 10, 8, 6, 4, 5, 1, 2, 3]
[7, 9, 10, 8, 6, 4, 2, 5, 1, 3]
[7, 9, 10, 8, 6, 4, 3, 2, 5, 1]
[7, 9, 10, 8, 6, 4, 1, 2, 5, 3]
[7, 9, 10, 8, 6, 4, 1, 3, 2, 5]
[7, 9, 10, 8, 6, 4, 1, 5, 3, 2]
